"kabupaten_kota";"jumlah_pergerakan_wisatawan_nusantara";"jumlah_pergerakan_wisatawan_mancanegara";"periode_update"
"Kota Batu";"245214";"25";"Desember 2020"
"Kota Blitar";"26269";"7";"Desember 2020"
"Kota Kediri";"0";"0";"Desember 2020"
"Kota Madiun";"16530";"0";"Desember 2020"
"Kota Malang";"55190";"226";"Desember 2020"
"Kota Mojokerto";"100260";"0";"Desember 2020"
"Kota Pasuruan";"2871";"10";"Desember 2020"
"Kota Probolinggo";"57754";"90";"Desember 2020"
"Kota Surabaya";"248207";"2767";"Desember 2020"
"";"";"";"Desember 2020"
"";"";"";"Desember 2020"
"Bangkalan";"31623";"0";"Januari 2022"
"Banyuwangi";"294636";"34";"Januari 2022"
"Blitar";"260738";"3";"Januari 2022"
"Bojonegoro";"62178";"0";"Januari 2022"
"Bondowoso";"36998";"0";"Januari 2022"
"Gresik";"430444";"3";"Januari 2022"
"Jember";"41595";"25";"Januari 2022"
"Jombang";"140033";"0";"Januari 2022"
"Kediri";"196144";"0";"Januari 2022"
"Lamongan";"393398";"4";"Januari 2022"
"Lumajang";"82599";"0";"Januari 2022"
"Madiun";"72338";"0";"Januari 2022"
"Magetan";"191758";"0";"Januari 2022"
"Malang";"284342";"23";"Januari 2022"
"Mojokerto";"110027";"0";"Januari 2022"
"Nganjuk";"20806";"0";"Januari 2022"
"Ngawi";"73430";"0";"Januari 2022"
"Pacitan";"162584";"0";"Januari 2022"
"Pamekasan";"19364";"0";"Januari 2022"
"Pasuruan";"218565";"550";"Januari 2022"
"Ponorogo";"57942";"0";"Januari 2022"
"Probolinggo";"148875";"24";"Januari 2022"
"Sampang";"18757";"2";"Januari 2022"
"Sidoarjo";"48624";"10";"Januari 2022"
"Situbondo";"100803";"5";"Januari 2022"
"Sumenep";"101817";"0";"Januari 2022"
"Trenggalek";"73874";"2";"Januari 2022"
"Tuban";"566347";"2";"Januari 2022"
"Tulungagung";"144008";"0";"Januari 2022"
"Kota Batu";"547117";"0";"Januari 2022"
"Kota Blitar";"147211";"0";"Januari 2022"
"Kota Kediri";"10581";"0";"Januari 2022"
"Kota Madiun";"49793";"0";"Januari 2022"
"Kota Malang";"160172";"6";"Januari 2022"
"Kota Mojokerto";"154078";"5";"Januari 2022"
"Kota Pasuruan";"63432";"0";"Januari 2022"
"Kota Probolinggo";"33694";"0";"Januari 2022"
"Kota Surabaya";"316783";"369";"Januari 2022"
"Bangkalan";"24105";"0";"Februari 2022"
"Banyuwangi";"179041";"25";"Februari 2022"
"Blitar";"191534";"1";"Februari 2022"
"Bojonegoro";"36977";"0";"Februari 2022"
"Bondowoso";"27653";"0";"Februari 2022"
"Gresik";"352036";"8";"Februari 2022"
"Jember";"26095";"16";"Februari 2022"
"Jombang";"84568";"0";"Februari 2022"
"Kediri";"66152";"1";"Februari 2022"
"Lamongan";"421797";"1";"Februari 2022"
"Lumajang";"51725";"0";"Februari 2022"
"Madiun";"38565";"0";"Februari 2022"
"Magetan";"111998";"0";"Februari 2022"
"Malang";"201456";"7";"Februari 2022"
"Mojokerto";"72481";"0";"Februari 2022"
"Nganjuk";"11957";"0";"Februari 2022"
"Ngawi";"34144";"0";"Februari 2022"
"Pacitan";"102059";"34";"Februari 2022"
"Pamekasan";"10362";"0";"Februari 2022"
"Pasuruan";"154098";"477";"Februari 2022"
"Ponorogo";"47579";"10";"Februari 2022"
"Probolinggo";"86100";"34";"Februari 2022"
"Sampang";"17569";"8";"Februari 2022"
"Sidoarjo";"38569";"0";"Februari 2022"
"Situbondo";"38573";"12";"Februari 2022"
"Sumenep";"94195";"0";"Februari 2022"
"Trenggalek";"32486";"0";"Februari 2022"
"Tuban";"591788";"0";"Februari 2022"
"Tulungagung";"86611";"0";"Februari 2022"
"Kota Batu";"418198";"0";"Februari 2022"
"Kota Blitar";"114595";"0";"Februari 2022"
"Kota Kediri";"8546";"0";"Februari 2022"
"Kota Madiun";"50607";"3";"Februari 2022"
"Kota Malang";"125821";"50";"Februari 2022"
"Kota Mojokerto";"118404";"0";"Februari 2022"
"Kota Pasuruan";"66204";"0";"Februari 2022"
"Kota Probolinggo";"83076";"0";"Februari 2022"
"Kota Surabaya";"299125";"325";"Februari 2022"
"Bangkalan";"52487";"0";"Maret 2022"
"Banyuwangi";"196530";"72";"Maret 2022"
"Blitar";"238543";"0";"Maret 2022"
"Bojonegoro";"38072";"0";"Maret 2022"
"Bondowoso";"29516";"0";"Maret 2022"
"Gresik";"479890";"2";"Maret 2022"
"Jember";"28948";"13";"Maret 2022"
"Jombang";"165665";"0";"Maret 2022"
"Kediri";"129261";"0";"Maret 2022"
"Lamongan";"563651";"1";"Maret 2022"
"Lumajang";"47731";"0";"Maret 2022"
"Madiun";"32613";"0";"Maret 2022"
"Magetan";"124645";"0";"Maret 2022"
"Malang";"221642";"6";"Maret 2022"
"Mojokerto";"125481";"0";"Maret 2022"
"Nganjuk";"14317";"0";"Maret 2022"
"Ngawi";"31435";"0";"Maret 2022"
"Pacitan";"72467";"43";"Maret 2022"
"Pamekasan";"12916";"0";"Maret 2022"
"Pasuruan";"164997";"365";"Maret 2022"
"Ponorogo";"57198";"0";"Maret 2022"
"Probolinggo";"91479";"46";"Maret 2022"
"Sampang";"13017";"0";"Maret 2022"
"Sidoarjo";"44593";"0";"Maret 2022"
"Situbondo";"45019";"17";"Maret 2022"
"Sumenep";"106127";"0";"Maret 2022"
"Trenggalek";"41072";"0";"Maret 2022"
"Tuban";"769806";"0";"Maret 2022"
"Tulungagung";"84663";"0";"Maret 2022"
"Kota Batu";"494259";"0";"Maret 2022"
"Kota Blitar";"157784";"0";"Maret 2022"
"Kota Kediri";"9646";"0";"Maret 2022"
"Kota Madiun";"44994";"0";"Maret 2022"
"Kota Malang";"137449";"4";"Maret 2022"
"Kota Mojokerto";"256300";"0";"Maret 2022"
"Kota Pasuruan";"68004";"0";"Maret 2022"
"Kota Probolinggo";"80299";"0";"Maret 2022"
"Kota Surabaya";"373214";"445";"Maret 2022"
"Bangkalan";"1336";"0";"April 2022"
"Banyuwangi";"61709";"326";"April 2022"
"Blitar";"73851";"0";"April 2022"
"Bojonegoro";"259689";"0";"April 2022"
"Bondowoso";"3583";"0";"April 2022"
"Gresik";"36300";"21";"April 2022"
"Jember";"11086";"2";"April 2022"
"Jombang";"7817";"0";"April 2022"
"Kediri";"44230";"0";"April 2022"
"Lamongan";"64541";"0";"April 2022"
"Lumajang";"7052";"0";"April 2022"
"Madiun";"10531";"0";"April 2022"
"Magetan";"34596";"400";"April 2022"
"Malang";"47418";"18";"April 2022"
"Mojokerto";"36003";"0";"April 2022"
"Nganjuk";"8411";"0";"April 2022"
"Ngawi";"12165";"0";"April 2022"
"Pacitan";"19720";"26";"April 2022"
"Pamekasan";"3429";"14";"April 2022"
"Pasuruan";"59329";"450";"April 2022"
"Ponorogo";"13634";"0";"April 2022"
"Probolinggo";"61126";"120";"April 2022"
"Sampang";"7527";"3";"April 2022"
"Sidoarjo";"20233";"0";"April 2022"
"Situbondo";"31075";"12";"April 2022"
"Sumenep";"54758";"0";"April 2022"
"Trenggalek";"5565";"0";"April 2022"
"Tuban";"33586";"2";"April 2022"
"Tulungagung";"63537";"0";"April 2022"
"Kota Batu";"181436";"0";"April 2022"
"Kota Blitar";"115140";"0";"April 2022"
"Kota Kediri";"6788";"0";"April 2022"
"Kota Madiun";"31055";"0";"April 2022"
"Kota Malang";"169081";"0";"April 2022"
"Kota Mojokerto";"308717";"0";"April 2022"
"Kota Pasuruan";"67335";"0";"April 2022"
"Kota Probolinggo";"48762";"0";"April 2022"
"Kota Surabaya";"143306";"366";"April 2022"
"Bangkalan";"36704";"0";"Mei 2022"
"Banyuwangi";"481490";"1139";"Mei 2022"
"Blitar";"363248";"7";"Mei 2022"
"Bojonegoro";"126417";"0";"Mei 2022"
"Bondowoso";"36718";"1041";"Mei 2022"
"Gresik";"417139";"16";"Mei 2022"
"Jember";"73701";"15";"Mei 2022"
"Jombang";"93600";"0";"Mei 2022"
"Kediri";"258011";"3";"Mei 2022"
"Lamongan";"527711";"0";"Mei 2022"
"Lumajang";"283905";"155";"Mei 2022"
"Madiun";"74095";"0";"Mei 2022"
"Magetan";"311273";"150";"Mei 2022"
"Malang";"680210";"81";"Mei 2022"
"Mojokerto";"162859";"15";"Mei 2022"
"Nganjuk";"29119";"0";"Mei 2022"
"Ngawi";"93111";"0";"Mei 2022"
"Pacitan";"493794";"28";"Mei 2022"
"Pamekasan";"49716";"0";"Mei 2022"
"Pasuruan";"339398";"925";"Mei 2022"
"Ponorogo";"93889";"0";"Mei 2022"
"Probolinggo";"306623";"348";"Mei 2022"
"Sampang";"70617";"0";"Mei 2022"
"Sidoarjo";"43635";"0";"Mei 2022"
"Situbondo";"115123";"27";"Mei 2022"
"Sumenep";"117150";"2";"Mei 2022"
"Trenggalek";"117931";"0";"Mei 2022"
"Tuban";"535274";"6";"Mei 2022"
"Tulungagung";"194632";"0";"Mei 2022"
"Kota Batu";"979227";"0";"Mei 2022"
"Kota Blitar";"175845";"0";"Mei 2022"
"Kota Kediri";"10220";"0";"Mei 2022"
"Kota Madiun";"35106";"0";"Mei 2022"
"Kota Malang";"284182";"15";"Mei 2022"
"Kota Mojokerto";"96031";"0";"Mei 2022"
"Kota Pasuruan";"63074";"0";"Mei 2022"
"Kota Probolinggo";"88661";"4";"Mei 2022"
"Kota Surabaya";"467762";"650";"Mei 2022"
"Bangkalan";"237380";"0";"Juni 2022"
"Banyuwangi";"288264";"4337";"Juni 2022"
"Blitar";"298371";"12";"Juni 2022"
"Bojonegoro";"352232";"0";"Juni 2022"
"Bondowoso";"37062";"1587";"Juni 2022"
"Gresik";"356016";"12";"Juni 2022"
"Jember";"32176";"19";"Juni 2022"
"Jombang";"112678";"0";"Juni 2022"
"Kediri";"176875";"18";"Juni 2022"
"Lamongan";"543711";"3";"Juni 2022"
"Lumajang";"71802";"211";"Juni 2022"
"Madiun";"56888";"0";"Juni 2022"
"Magetan";"166138";"150";"Juni 2022"
"Malang";"321015";"138";"Juni 2022"
"Mojokerto";"143180";"0";"Juni 2022"
"Nganjuk";"16462";"0";"Juni 2022"
"Ngawi";"60085";"0";"Juni 2022"
"Pacitan";"130599";"63";"Juni 2022"
"Pamekasan";"15185";"3";"Juni 2022"
"Pasuruan";"268576";"1886";"Juni 2022"
"Ponorogo";"50535";"0";"Juni 2022"
"Probolinggo";"151612";"587";"Juni 2022"
"Sampang";"14256";"0";"Juni 2022"
"Sidoarjo";"41262";"52";"Juni 2022"
"Situbondo";"74259";"81";"Juni 2022"
"Sumenep";"89726";"0";"Juni 2022"
"Trenggalek";"57962";"0";"Juni 2022"
"Tuban";"481102";"3";"Juni 2022"
"Tulungagung";"129279";"0";"Juni 2022"
"Kota Batu";"889647";"5";"Juni 2022"
"Kota Blitar";"211252";"0";"Juni 2022"
"Kota Kediri";"15729";"0";"Juni 2022"
"Kota Madiun";"36630";"0";"Juni 2022"
"Kota Malang";"266442";"45";"Juni 2022"
"Kota Mojokerto";"185555";"0";"Juni 2022"
"Kota Pasuruan";"83176";"4";"Juni 2022"
"Kota Probolinggo";"85754";"7";"Juni 2022"
"Kota Surabaya";"808494";"719";"Juni 2022"
"Bangkalan";"586891";"5";"Juli 2022"
"Banyuwangi";"301973";"5311";"Juli 2022"
"Blitar";"291781";"12";"Juli 2022"
"Bojonegoro";"102781";"0";"Juli 2022"
"Bondowoso";"29166";"1765";"Juli 2022"
"Gresik";"365125";"16";"Juli 2022"
"Jember";"34633";"73";"Juli 2022"
"Jombang";"96368";"0";"Juli 2022"
"Kediri";"181780";"12";"Juli 2022"
"Lamongan";"471168";"8";"Juli 2022"
"Lumajang";"58540";"0";"Juli 2022"
"Madiun";"44496";"0";"Juli 2022"
"Magetan";"174456";"100";"Juli 2022"
"Malang";"397097";"414";"Juli 2022"
"Mojokerto";"120659";"4";"Juli 2022"
"Nganjuk";"16888";"0";"Juli 2022"
"Ngawi";"50674";"1";"Juli 2022"
"Pacitan";"149519";"59";"Juli 2022"
"Pamekasan";"21119";"0";"Juli 2022"
"Pasuruan";"261296";"877";"Juli 2022"
"Ponorogo";"53166";"0";"Juli 2022"
"Probolinggo";"145945";"1456";"Juli 2022"
"Sampang";"15784";"0";"Juli 2022"
"Sidoarjo";"40720";"0";"Juli 2022"
"Situbondo";"85380";"149";"Juli 2022"
"Sumenep";"82726";"2";"Juli 2022"
"Trenggalek";"87054";"1";"Juli 2022"
"Tuban";"405156";"4";"Juli 2022"
"Tulungagung";"136889";"0";"Juli 2022"
"Kota Batu";"827767";"66";"Juli 2022"
"Kota Blitar";"152459";"0";"Juli 2022"
"Kota Kediri";"9086";"0";"Juli 2022"
"Kota Madiun";"39860";"0";"Juli 2022"
"Kota Malang";"291016";"1252";"Juli 2022"
"Kota Mojokerto";"197794";"0";"Juli 2022"
"Kota Pasuruan";"74734";"0";"Juli 2022"
"Kota Probolinggo";"83292";"6";"Juli 2022"
"Kota Surabaya";"631063";"857";"Juli 2022"
"Bangkalan";"607754";"4";"Agustus 2022"
"Banyuwangi";"197178";"5873";"Agustus 2022"
"Blitar";"140782";"2";"Agustus 2022"
"Bojonegoro";"22858";"0";"Agustus 2022"
"Bondowoso";"27853";"1661";"Agustus 2022"
"Gresik";"369268";"12";"Agustus 2022"
"Jember";"23806";"114";"Agustus 2022"
"Jombang";"136228";"0";"Agustus 2022"
"Kediri";"105663";"46";"Agustus 2022"
"Lamongan";"313343";"58";"Agustus 2022"
"Lumajang";"34653";"1320";"Agustus 2022"
"Madiun";"23782";"2";"Agustus 2022"
"Magetan";"86432";"400";"Agustus 2022"
"Malang";"232534";"717";"Agustus 2022"
"Mojokerto";"117955";"31";"Agustus 2022"
"Nganjuk";"19551";"0";"Agustus 2022"
"Ngawi";"29167";"5";"Agustus 2022"
"Pacitan";"76496";"7";"Agustus 2022"
"Pamekasan";"11917";"0";"Agustus 2022"
"Pasuruan";"141561";"902";"Agustus 2022"
"Ponorogo";"38270";"0";"Agustus 2022"
"Probolinggo";"119941";"4588";"Agustus 2022"
"Sampang";"18873";"15";"Agustus 2022"
"Sidoarjo";"43492";"0";"Agustus 2022"
"Situbondo";"64324";"289";"Agustus 2022"
"Sumenep";"72709";"0";"Agustus 2022"
"Trenggalek";"32040";"0";"Agustus 2022"
"Tuban";"622799";"6";"Agustus 2022"
"Tulungagung";"144055";"0";"Agustus 2022"
"Kota Batu";"467692";"29";"Agustus 2022"
"Kota Blitar";"152279";"0";"Agustus 2022"
"Kota Kediri";"8126";"0";"Agustus 2022"
"Kota Madiun";"45910";"0";"Agustus 2022"
"Kota Malang";"264276";"3313";"Agustus 2022"
"Kota Mojokerto";"192124";"0";"Agustus 2022"
"Kota Pasuruan";"70591";"4";"Agustus 2022"
"Kota Probolinggo";"62840";"34";"Agustus 2022"
"Kota Surabaya";"412882";"1173";"Agustus 2022"
"Bangkalan";"641077";"0";"September 2022"
"Banyuwangi";"180244";"5857";"September 2022"
"Blitar";"169282";"9";"September 2022"
"Bojonegoro";"24419";"0";"September 2022"
"Bondowoso";"26226";"2071";"September 2022"
"Gresik";"293769";"3126";"September 2022"
"Jember";"24880";"124";"September 2022"
"Jombang";"127665";"0";"September 2022"
"Kediri";"146631";"12";"September 2022"
"Lamongan";"296149";"2";"September 2022"
"Lumajang";"32444";"1400";"September 2022"
"Madiun";"27725";"0";"September 2022"
"Magetan";"92916";"0";"September 2022"
"Malang";"216216";"617";"September 2022"
"Mojokerto";"114130";"17";"September 2022"
"Nganjuk";"15890";"0";"September 2022"
"Ngawi";"29684";"9";"September 2022"
"Pacitan";"85164";"0";"September 2022"
"Pamekasan";"12468";"0";"September 2022"
"Pasuruan";"167485";"898";"September 2022"
"Ponorogo";"36004";"0";"September 2022"
"Probolinggo";"98717";"4932";"September 2022"
"Sampang";"15374";"1";"September 2022"
"Sidoarjo";"38945";"0";"September 2022"
"Situbondo";"61279";"150";"September 2022"
"Sumenep";"77168";"11";"September 2022"
"Trenggalek";"62372";"0";"September 2022"
"Tuban";"413916";"2";"September 2022"
"Tulungagung";"160889";"0";"September 2022"
"Kota Batu";"522692";"2";"September 2022"
"Kota Blitar";"138132";"0";"September 2022"
"Kota Kediri";"7925";"0";"September 2022"
"Kota Madiun";"46700";"0";"September 2022"
"Kota Malang";"268034";"1074";"September 2022"
"Kota Mojokerto";"196583";"6";"September 2022"
"Kota Pasuruan";"74185";"7";"September 2022"
"Kota Probolinggo";"56776";"120";"September 2022"
"Kota Surabaya";"617452";"1163";"September 2022"
"Bangkalan";"697576";"4";"Oktober 2022"
"Banyuwangi";"236706";"4126";"Oktober 2022"
"Blitar";"161720";"58";"Oktober 2022"
"Bojonegoro";"83329";"0";"Oktober 2022"
"Bondowoso";"23895";"1768";"Oktober 2022"
"Gresik";"374965";"0";"Oktober 2022"
"Jember";"36275";"55";"Oktober 2022"
"Jombang";"153152";"0";"Oktober 2022"
"Kediri";"200551";"17";"Oktober 2022"
"Lamongan";"395928";"10";"Oktober 2022"
"Lumajang";"41436";"863";"Oktober 2022"
"Madiun";"36256";"0";"Oktober 2022"
"Magetan";"122425";"0";"Oktober 2022"
"Malang";"165426";"259";"Oktober 2022"
"Mojokerto";"124491";"29";"Oktober 2022"
"Nganjuk";"24018";"0";"Oktober 2022"
"Ngawi";"36382";"0";"Oktober 2022"
"Pacitan";"100988";"0";"Oktober 2022"
"Pamekasan";"17487";"0";"Oktober 2022"
"Pasuruan";"193632";"815";"Oktober 2022"
"Ponorogo";"29807";"0";"Oktober 2022"
"Probolinggo";"117445";"3998";"Oktober 2022"
"Sampang";"14274";"3";"Oktober 2022"
"Sidoarjo";"40742";"0";"Oktober 2022"
"Situbondo";"76893";"90";"Oktober 2022"
"Sumenep";"82400";"2";"Oktober 2022"
"Trenggalek";"15677";"0";"Oktober 2022"
"Tuban";"576034";"4";"Oktober 2022"
"Tulungagung";"123407";"0";"Oktober 2022"
"Kota Batu";"551037";"14";"Oktober 2022"
"Kota Blitar";"182431";"0";"Oktober 2022"
"Kota Kediri";"6952";"0";"Oktober 2022"
"Kota Madiun";"47635";"0";"Oktober 2022"
"Kota Malang";"240417";"740";"Oktober 2022"
"Kota Mojokerto";"175376";"1";"Oktober 2022"
"Kota Pasuruan";"83034";"23";"Oktober 2022"
"Kota Probolinggo";"73595";"9";"Oktober 2022"
"Kota Surabaya";"331340";"1403";"Oktober 2022"
"Bangkalan";"  184,511 ";"0";"November 2022"
"Banyuwangi";"  215,995 ";"2181";"November 2022"
"Blitar";"  143,965 ";"22";"November 2022"
"Bojonegoro";"  66,891 ";"0";"November 2022"
"Bondowoso";"  26,015 ";"2377";"November 2022"
"Gresik";"  259,434 ";"2345";"November 2022"
"Jember";"  28,624 ";"26";"November 2022"
"Jombang";"  105,576 ";"0";"November 2022"
"Kediri";"  122,450 ";"14";"November 2022"
"Lamongan";"  321,082 ";"3";"November 2022"
"Lumajang";"  30,643 ";"662";"November 2022"
"Madiun";"  27,208 ";"6";"November 2022"
"Magetan";"  81,266 ";"0";"November 2022"
"Malang";"  125,684 ";"116";"November 2022"
"Mojokerto";"  98,599 ";"0";"November 2022"
"Nganjuk";"  12,791 ";"0";"November 2022"
"Ngawi";"  34,153 ";"0";"November 2022"
"Pacitan";"  62,096 ";"0";"November 2022"
"Pamekasan";"  9,952 ";"0";"November 2022"
"Pasuruan";"  146,556 ";"860";"November 2022"
"Ponorogo";"  18,936 ";"0";"November 2022"
"Probolinggo";"  99,753 ";"2494";"November 2022"
"Sampang";"  19,659 ";"4";"November 2022"
"Sidoarjo";"  41,395 ";"0";"November 2022"
"Situbondo";"  71,950 ";"105";"November 2022"
"Sumenep";"  74,564 ";"1";"November 2022"
"Trenggalek";"  9,382 ";"0";"November 2022"
"Tuban";"  407,996 ";"4";"November 2022"
"Tulungagung";"  96,807 ";"0";"November 2022"
"Kota Batu";"  376,045 ";"38";"November 2022"
"Kota Blitar";"  169,979 ";"0";"November 2022"
"Kota Kediri";"  6,768 ";"0";"November 2022"
"Kota Madiun";"  55,022 ";"0";"November 2022"
"Kota Malang";"  248,061 ";"1225";"November 2022"
"Kota Mojokerto";"  158,509 ";"0";"November 2022"
"Kota Pasuruan";"  77,888 ";"10";"November 2022"
"Kota Probolinggo";"  59,302 ";"52";"November 2022"
"Kota Surabaya";"  344,744 ";"1564";"November 2022"
"Bangkalan";"292535";"0";"Desember 2022"
"Banyuwangi";"314777";"951";"Desember 2022"
"Blitar";"263515";"14";"Desember 2022"
"Bojonegoro";"81657";"0";"Desember 2022"
"Bondowoso";"42708";"2687";"Desember 2022"
"Gresik";"386306";"7029";"Desember 2022"
"Jember";"42612";"1";"Desember 2022"
"Jombang";"149268";"0";"Desember 2022"
"Kediri";"228584";"14";"Desember 2022"
"Lamongan";"450871";"8";"Desember 2022"
"Lumajang";"68458";"679";"Desember 2022"
"Madiun";"40395";"0";"Desember 2022"
"Magetan";"133613";"0";"Desember 2022"
"Malang";"158508";"99";"Desember 2022"
"Mojokerto";"134462";"0";"Desember 2022"
"Nganjuk";"14663";"0";"Desember 2022"
"Ngawi";"67911";"0";"Desember 2022"
"Pacitan";"110436";"4";"Desember 2022"
"Pamekasan";"14203";"0";"Desember 2022"
"Pasuruan";"252828";"831";"Desember 2022"
"Ponorogo";"33608";"0";"Desember 2022"
"Probolinggo";"178722";"2168";"Desember 2022"
"Sampang";"16447";"7";"Desember 2022"
